bus_name,bus_type,departure_at,arrival_at,duration,price,seats,rating,route_name,route_link,state_name
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:00,18:22,08h 22m,606.0,16 Seats available,4.0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:00,20:20,08h 20m,945.0,38 Seats available,3.7,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,21:25,07h 39m,1099.0,47 Seats available,3.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,23:05,08h 50m,945.0,37 Seats available,4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,01:00,10h 00m,801.0,28 Seats available,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,23:45,08h 20m,1099.0,40 Seats available,2.4,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,00:45,08h 45m,740.0,33 Seats available,3.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,01:00,08h 45m,740.0,35 Seats available,2.7,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,832.0,34 Seats available,3.3,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,04:30,09h 30m,832.0,37 Seats available,4.0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,03:45,07h 45m,473.0,17 Seats available,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:40,06:10,09h 30m,832.0,31 Seats available,3.5,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:30,06:55,09h 25m,832.0,26 Seats available,3.8,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,07:35,09h 25m,832.0,26 Seats available,4.2,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:30,06:30,08h 00m,945.0,10 Seats available,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,950.0,22 Seats available,4.5,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
SAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,1049.0,21 Seats available,4.3,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,1399.0,17 Seats available,4.1,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,1180.0,20 Seats available,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,999.0,25 Seats available,3.9,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC-KERALA
KSRTC (Kerala) - 1029,Super Fast Non AC Seater (2+3),00:00,05:35,05h 35m,269.0,49 Seats available,4.8,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC-KERALA
KSRTC (Kerala) - 2518,Swift Deluxe Non AC Air Bus (2+2),00:11,04:54,04h 43m,309.0,36 Seats available,1.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC-KERALA
